kind,etag,id,snippet.hl,snippet.name,param_part,param_hl,param_maxResults,param_pageToken,queryTime
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",af,af,Afrikaans,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",az,az,Azerbaijani,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",id,id,Indonesian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ms,ms,Malay,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",bs,bs,Bosnian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ca,ca,Catalan,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",cs,cs,Czech,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",da,da,Danish,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",de,de,German,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",et,et,Estonian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",en-GB,en-GB,English (United Kingdom),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",en,en,English,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",es,es,Spanish (Spain),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",es-419,es-419,Spanish (Latin America),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",es-US,es-US,Spanish (United States),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",eu,eu,Basque,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",fil,fil,Filipino,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",fr,fr,French,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",fr-CA,fr-CA,French (Canada),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",gl,gl,Galician,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",hr,hr,Croatian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",zu,zu,Zulu,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",is,is,Icelandic,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",it,it,Italian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sw,sw,Swahili,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",lv,lv,Latvian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",lt,lt,Lithuanian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",hu,hu,Hungarian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",nl,nl,Dutch,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",no,no,Norwegian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",uz,uz,Uzbek,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",pl,pl,Polish,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",pt-PT,pt-PT,Portuguese (Portugal),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",pt,pt,Portuguese (Brazil),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ro,ro,Romanian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sq,sq,Albanian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sk,sk,Slovak,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sl,sl,Slovenian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sr-Latn,sr-Latn,Serbian (Latin),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",fi,fi,Finnish,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sv,sv,Swedish,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",vi,vi,Vietnamese,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",tr,tr,Turkish,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",be,be,Belarusian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",bg,bg,Bulgarian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ky,ky,Kyrgyz,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",kk,kk,Kazakh,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",mk,mk,Macedonian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",mn,mn,Mongolian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ru,ru,Russian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",sr,sr,Serbian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",uk,uk,Ukrainian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",el,el,Greek,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",hy,hy,Armenian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",iw,iw,Hebrew,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ur,ur,Urdu,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ar,ar,Arabic,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",fa,fa,Persian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ne,ne,Nepali,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",mr,mr,Marathi,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",hi,hi,Hindi,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",bn,bn,Bangla,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",pa,pa,Punjabi,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",gu,gu,Gujarati,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ta,ta,Tamil,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",te,te,Telugu,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",kn,kn,Kannada,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ml,ml,Malayalam,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",si,si,Sinhala,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",th,th,Thai,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",lo,lo,Lao,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",my,my,Myanmar (Burmese),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ka,ka,Georgian,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",am,am,Amharic,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",km,km,Khmer,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",zh-CN,zh-CN,Chinese,snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",zh-TW,zh-TW,Chinese (Taiwan),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",zh-HK,zh-HK,Chinese (Hong Kong),snippet,en,,,2020-02-03 00:29:04.490053+00:00
youtube#i18nLanguageListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qgFy24yvs-L_dNjr2d-Rd_Xcfw4""",ja,ja,Japanese,snippet,en,,,2020-02-03 00:29:04.490053+00:00
